,github_user_cleaned_url,archived,created_at,has_wiki,has_pages
68,jordan-bird/synthetic-fruit-image-generator,False,2021-03-18 00:46:43,True,False
69,fcampelo/OrgSpec-paper,False,2021-02-13 12:44:31,True,False
70,fcampelo/epitopes,False,2023-04-13 09:52:49,True,False
71,mozilla/TTS,False,2018-01-23 14:22:06,True,False
72,vangiel/WheresTheFellow,False,2020-04-28 21:24:36,True,False
73,eghbal11/Eghbal,False,2020-06-10 12:37:34,True,False
74,fcampelo/MOEADr,False,2016-06-23 18:50:55,True,True
75,DiUS/java-faker,False,2011-06-06 01:01:21,True,True
76,mondo-project/mondo-hawk,True,2015-02-11 16:29:06,True,True
77,atlanmod/Mogwai,False,2015-02-03 15:07:23,True,True
78,atlanmod/NeoEMF,False,2014-11-19 13:07:45,True,True
79,quitadal/EPINETLAB,False,2017-10-03 14:38:17,True,False
80,NeuroanatomyAndConnectivity/broca,False,2015-03-30 16:47:33,True,False
81,NeuroanatomyAndConnectivity/nki_nilearn,False,2016-05-26 17:09:58,True,False
82,bernuly/VCSimulinkTlbx,False,2016-05-14 01:09:11,True,False
83,BryanHunt/mongo-emf,False,2010-12-09 21:10:40,True,True
84,kennethreitz/grequests,False,2012-05-10 21:50:15,True,False
85,lushv/geolabel-service,False,2013-08-11 23:27:25,True,False
86,52North/GEO-label-java,False,2013-09-09 14:36:52,False,False
87,EPiCS/CamSim,False,2012-10-01 09:14:19,True,True
88,masakhane-io/masakhane-news,False,2022-12-23 13:28:57,True,False
89,zdai257/DeepAoANet,False,2021-05-06 14:28:45,True,False
90,FlorianSteinberg/incone,False,2018-09-30 11:47:42,True,False
91,google-research/bert,False,2018-10-25 22:57:34,True,False
92,thunlp/OpenCLaP,False,2019-07-01 02:23:06,True,False
93,SigmaLabResearch/Gaze-Enabled-Histopathology,False,2022-02-01 12:29:12,True,False
94,SigmaLabResearch/Visnotate,False,2022-02-01 19:44:17,True,False
95,brunneis/ilab-erisk-2020,False,2020-06-22 11:58:14,True,False
97,tharindudr/transquest,False,2020-03-12 17:10:17,True,True
98,ieee8023/covid-chestxray-dataset,False,2020-02-14 23:22:23,True,False
99,muellmusik/Utopia,False,2013-03-23 18:41:46,True,False
100,supercollider/supercollider,False,2012-05-04 19:24:51,True,False
101,supercollider-quarks/Republic,False,2014-11-30 15:45:35,True,False
106,gamesbyangelina/danesh,False,2015-12-11 11:43:35,True,False
107,cylammarco/ASPIRED-example,False,2020-09-12 22:09:21,True,False
108,cylammarco/bhtomspec,False,2020-08-11 16:55:28,True,False
109,P-R-McWhirter/pyOsiris,False,2020-10-20 13:49:32,True,False
110,kecskemeti/dissect-cf,False,2014-01-09 11:58:10,True,True
111,morriscb/The-wiZZ,False,2016-02-14 16:14:26,True,False
112,sjoudaki/cfhtlens_revisited,False,2016-01-21 22:52:51,True,False
113,vraj004/RyR-simulator,False,2013-04-24 15:26:01,True,False
115,ziqizhang/sti,False,2015-04-22 09:15:29,True,False
