title,date,author_for_reference,pdf_url
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/7/small.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/8/indexcodes.txt
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/9/lightbox.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/10/preview.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/11/medium.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/12/small.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/13/lightbox.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/14/preview.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/15/medium.jpg
CHAOS: A Co-Created book publication,2019-11-08,Stephen Braund,https://repository.falmouth.ac.uk/3747/16/small.jpg
Max Pinckers: Margins of Excess,2019-11-08,Tim Clark,https://repository.falmouth.ac.uk/4019/1/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20191109113550.jpg
Max Pinckers: Margins of Excess,2019-11-08,Tim Clark,https://repository.falmouth.ac.uk/4019/2/lightbox.jpg
Max Pinckers: Margins of Excess,2019-11-08,Tim Clark,https://repository.falmouth.ac.uk/4019/3/preview.jpg
Max Pinckers: Margins of Excess,2019-11-08,Tim Clark,https://repository.falmouth.ac.uk/4019/4/medium.jpg
Max Pinckers: Margins of Excess,2019-11-08,Tim Clark,https://repository.falmouth.ac.uk/4019/5/small.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/2/70756866_2463166153732211_4628860407233118208_o.jpg
